Medidor,Fecha,Hora,kW_del,kVAr_del,kW_rec,kVAr_rec,tension
Alm Achupallas,01-01-2020,0:00:00,4088.174072,769.8450317,0,0,12507.18457
Alm Achupallas,01-01-2020,0:15:00,3898.282959,692.1254883,0,0,12469.9834
Alm Achupallas,01-01-2020,0:30:00,4006.410645,737.1889038,0,0,12465.14453
Alm Achupallas,01-01-2020,0:45:00,3565.306396,1058.023071,0,0,12424.3252
Alm Achupallas,01-01-2020,1:00:00,3765.763184,1199.218018,0,0,12403.37598
Alm Achupallas,01-01-2020,1:15:00,3656.265625,1131.929199,0,0,12413.06543
Alm Achupallas,01-01-2020,1:30:00,3657.942383,1172.596436,0,0,12418.38184
Alm Achupallas,01-01-2020,1:45:00,3462.654541,1091.02832,0,0,12423.9375
Alm Achupallas,01-01-2020,2:00:00,3527.154541,1164.093628,0,0,12413.22754
Alm Achupallas,01-01-2020,2:15:00,3412.941162,1151.378418,0,0,12425.56152
Alm Achupallas,01-01-2020,2:30:00,3224.587158,1099.156982,0,0,12450.6709
Alm Achupallas,01-01-2020,2:45:00,3270.246582,1157.497314,0,0,12460.20898
Alm Achupallas,01-01-2020,3:00:00,3108.535645,1094.509644,0,0,12476.53906
Alm Achupallas,01-01-2020,3:15:00,3088.091553,1142.133179,0,0,12477.01563
Alm Achupallas,01-01-2020,3:30:00,2833.393066,1043.710693,0,0,12498.16602
Alm Achupallas,01-01-2020,3:45:00,2952.467041,1140.859863,0,0,12497.56641
Alm Achupallas,01-01-2020,4:00:00,2753.400391,1034.555298,0,0,12520.85156
Alm Achupallas,01-01-2020,4:15:00,2778.969727,1114.591553,0,0,12472.66602
Alm Achupallas,01-01-2020,4:30:00,2534.201416,988.6524658,0,0,12450.94043
Alm Achupallas,01-01-2020,4:45:00,2657.855957,1078.490112,0,0,12439.56152
Alm Achupallas,01-01-2020,5:00:00,2529.463135,1013.807007,0,0,12435.92969
Alm Achupallas,01-01-2020,5:15:00,2430.281494,998.2539673,0,0,12438.89258
Alm Achupallas,01-01-2020,5:30:00,2426.500488,1021.384644,0,0,12436.29883
Alm Achupallas,01-01-2020,5:45:00,2410.819824,1016.85437,0,0,12435.8623
Alm Achupallas,01-01-2020,6:00:00,2424.327148,1041.330811,0,0,12435.81934
Alm Achupallas,01-01-2020,6:15:00,2261.339355,973.9473877,0,0,12444.97363
Alm Achupallas,01-01-2020,6:30:00,2340.061523,1026.083984,0,0,12442.88477
Alm Achupallas,01-01-2020,6:45:00,2222.344482,959.350708,0,0,12470.05078
Alm Achupallas,01-01-2020,7:00:00,2187.601563,1003.541626,0,0,12469.22559
Alm Achupallas,01-01-2020,7:15:00,1935.811279,885.9962769,0,0,12485.5293
Alm Achupallas,01-01-2020,7:30:00,2050.987305,981.6967773,0,0,12518.4502
Alm Achupallas,01-01-2020,7:45:00,1858.57959,874.8983154,0,0,12526.25488
Alm Achupallas,01-01-2020,8:00:00,2085.884033,988.5119019,0,0,12517.2207
Alm Achupallas,01-01-2020,8:15:00,1899.910034,832.8630981,0,0,12452.05664
Alm Achupallas,01-01-2020,8:30:00,2026.793213,905.4494629,0,0,12405.76465
Alm Achupallas,01-01-2020,8:45:00,1903.238525,819.37323,0,0,12407.5625
Alm Achupallas,01-01-2020,9:00:00,2062.183594,887.8513184,0,0,12399.62012
Alm Achupallas,01-01-2020,9:15:00,1973.359863,791.7834473,0,0,12400.27246
Alm Achupallas,01-01-2020,9:30:00,2205.121094,885.3465576,0,0,12379.15332
Alm Achupallas,01-01-2020,9:45:00,2230.118896,842.8683472,0,0,12376.10547
Alm Achupallas,01-01-2020,10:00:00,2193.329346,806.1487427,0,0,12382.8252
Alm Achupallas,01-01-2020,10:15:00,2358.313477,275.7187805,0,0,12425.2334
Alm Achupallas,01-01-2020,10:30:00,2387.401367,226.3175354,0,0,12412.84473
Alm Achupallas,01-01-2020,10:45:00,2568.291992,304.1897278,0,0,12392.18652
Alm Achupallas,01-01-2020,11:00:00,2650.02002,270.5469055,0,0,12393.37891
Alm Achupallas,01-01-2020,11:15:00,2806.38916,322.407959,0,0,12373.0127
Alm Achupallas,01-01-2020,11:30:00,2803.934814,322.7286072,0,0,12350.77246
Alm Achupallas,01-01-2020,11:45:00,2898.278809,332.0927734,0,0,12322.42578
Alm Achupallas,01-01-2020,12:00:00,3040.565674,359.0161743,0,0,12320.11816
Alm Achupallas,01-01-2020,12:15:00,3163.306396,410.0328979,0,0,12368.2832
Alm Achupallas,01-01-2020,12:30:00,3178.239258,391.4349976,0,0,12394.45801
Alm Achupallas,01-01-2020,12:45:00,3230.592041,399.2588196,0,0,12379.62207
Alm Achupallas,01-01-2020,13:00:00,3325.5354,443.0726624,0,0,12375.19434
Alm Achupallas,01-01-2020,13:15:00,3347.170166,427.6887207,0,0,12373.26855
Alm Achupallas,01-01-2020,13:30:00,3354.437988,409.4234619,0,0,12370.42285
Alm Achupallas,01-01-2020,13:45:00,3525.026367,453.563446,0,0,12355.46289
Alm Achupallas,01-01-2020,14:00:00,3562.093262,504.7007446,0,0,12353.2002
Alm Achupallas,01-01-2020,14:15:00,3603.279785,533.0388794,0,0,12345.95801
Alm Achupallas,01-01-2020,14:30:00,3602.628174,554.2824097,0,0,12344.52344
Alm Achupallas,01-01-2020,14:45:00,4966.563965,1221.926392,0,0,12369.76855
Alm Achupallas,01-01-2020,15:00:00,4731.668457,1090.996704,0,0,12391.33789
Alm Achupallas,01-01-2020,15:15:00,4741.214844,1044.619507,0,0,12397.07324
Alm Achupallas,01-01-2020,15:30:00,4724.376465,1065.442139,0,0,12400.65527
Alm Achupallas,01-01-2020,15:45:00,4584.115723,1037.430054,0,0,12410.9209
Alm Achupallas,01-01-2020,16:00:00,4576.239258,1073.615479,0,0,12415.34375
Alm Achupallas,01-01-2020,16:15:00,4498.592773,1054.823853,0,0,12415.31543
Alm Achupallas,01-01-2020,16:30:00,4331.920898,1033.819946,0,0,12415.95898
Alm Achupallas,01-01-2020,16:45:00,4372.579102,1061.89563,0,0,12419.74219
Alm Achupallas,01-01-2020,17:00:00,4365.322754,1053.589722,0,0,12428.27148
Alm Achupallas,01-01-2020,17:15:00,4203.952148,1016.531921,0,0,12444.41992
Alm Achupallas,01-01-2020,17:30:00,4160.353027,1000.833313,0,0,12446.16895
Alm Achupallas,01-01-2020,17:45:00,4144.730957,981.1677246,0,0,12449.77441
Alm Achupallas,01-01-2020,18:00:00,4063.170654,956.8033447,0,0,12455.91016
Alm Achupallas,01-01-2020,18:15:00,4147.679199,963.3807373,0,0,12465.32129
Alm Achupallas,01-01-2020,18:30:00,3404.306885,631.9951782,0,0,12468.14258
Alm Achupallas,01-01-2020,18:45:00,3099.469238,527.0268555,0,0,12517.60742
Alm Achupallas,01-01-2020,19:00:00,3169.341797,543.8585205,0,0,12517.46289
Alm Achupallas,01-01-2020,19:15:00,3281.688232,563.826416,0,0,12507.50879
Alm Achupallas,01-01-2020,19:30:00,3262.673096,543.2125854,0,0,12517.85938
Alm Achupallas,01-01-2020,19:45:00,3265.87915,535.3546143,0,0,12512.26074
Alm Achupallas,01-01-2020,20:00:00,3355.076904,543.1491089,0,0,12503.11523
Alm Achupallas,01-01-2020,20:15:00,3409.463867,515.9141235,0,0,12499.02441
Alm Achupallas,01-01-2020,20:30:00,3487.67749,510.5199585,0,0,12495.68457
Alm Achupallas,01-01-2020,20:45:00,3619.575195,500.7355957,0,0,12493.97363
Alm Achupallas,01-01-2020,21:00:00,3932.148926,585.3114014,0,0,12475.85547
Alm Achupallas,01-01-2020,21:15:00,4228.547363,608.2202148,0,0,12434.94043
Alm Achupallas,01-01-2020,21:30:00,4639.896484,673.4893188,0,0,12410.77246
