Medidor,Fecha,Hora,kW_del,kVAr_del,kW_rec,kVAr_rec,tension,,,
Alm Agua Santa,01-01-2020,0:00:00,5132.557129,1770.432007,0,0,12491.59473,,,
Alm Agua Santa,01-01-2020,0:15:00,4814.78125,1719.989868,0,0,12513.39648,,,
Alm Agua Santa,01-01-2020,0:30:00,4577.80957,1525.708374,0,0,12466.12402,,,
Alm Agua Santa,01-01-2020,0:45:00,4536.578125,1393.65564,0,0,12356.65332,,,
Alm Agua Santa,01-01-2020,1:00:00,4799.956055,1549.881836,0,0,12335.36914,,,
Alm Agua Santa,01-01-2020,1:15:00,4841.210938,1556.167358,0,0,12340.0166,,,
Alm Agua Santa,01-01-2020,1:30:00,4788.900391,1561.076538,0,0,12352.95996,,,
Alm Agua Santa,01-01-2020,1:45:00,4381.497559,1381.994141,0,0,12371.30176,,,
Alm Agua Santa,01-01-2020,2:00:00,4218.381836,1359.922119,0,0,12373.33984,,,
Alm Agua Santa,01-01-2020,2:15:00,4344.739258,1447.462646,0,0,12372.79492,,,
Alm Agua Santa,01-01-2020,2:30:00,4359.773926,1487.430664,0,0,12387.15332,,,
Alm Agua Santa,01-01-2020,2:45:00,4280.071289,1493.399414,0,0,12403.11035,,,
Alm Agua Santa,01-01-2020,3:00:00,3839.984131,1326.520142,0,0,12431.37793,,,
Alm Agua Santa,01-01-2020,3:15:00,3792.250488,1314.918457,0,0,12435.73047,,,
Alm Agua Santa,01-01-2020,3:30:00,3806.044434,1387.20874,0,0,12435.01563,,,
Alm Agua Santa,01-01-2020,3:45:00,3798.490234,1407.962524,0,0,12445.67871,,,
Alm Agua Santa,01-01-2020,4:00:00,3715.569336,1387.739624,0,0,12458.93457,,,
Alm Agua Santa,01-01-2020,4:15:00,3631.211182,1361.124146,0,0,12412.84473,,,
Alm Agua Santa,01-01-2020,4:30:00,3496.297119,1312.766113,0,0,12378.77148,,,
Alm Agua Santa,01-01-2020,4:45:00,3352.261475,1264.490601,0,0,12381.41699,,,
Alm Agua Santa,01-01-2020,5:00:00,3025.763672,1119.543091,0,0,12384.25,,,
Alm Agua Santa,01-01-2020,5:15:00,3051.138916,1173.921875,0,0,12377.4248,,,
Alm Agua Santa,01-01-2020,5:30:00,2998.341797,1184.370605,0,0,12377.32813,,,
Alm Agua Santa,01-01-2020,5:45:00,2954.269043,1190.209473,0,0,12381.01563,,,
Alm Agua Santa,01-01-2020,6:00:00,3049.13208,1250.186768,0,0,12375.65039,,,
Alm Agua Santa,01-01-2020,6:15:00,3056.596436,1263.368164,0,0,12376.31152,,,
Alm Agua Santa,01-01-2020,6:30:00,3018.420654,1247.948242,0,0,12383.24902,,,
Alm Agua Santa,01-01-2020,6:45:00,2973.744629,1243.605591,0,0,12398.22363,,,
Alm Agua Santa,01-01-2020,7:00:00,2621.567871,1107.542847,0,0,12417.24023,,,
Alm Agua Santa,01-01-2020,7:15:00,2589.82959,1143.552734,0,0,12413.03125,,,
Alm Agua Santa,01-01-2020,7:30:00,2526.23877,1144.217651,0,0,12454.46973,,,
Alm Agua Santa,01-01-2020,7:45:00,2660.759766,1216.678955,0,0,12450.64844,,,
Alm Agua Santa,01-01-2020,8:00:00,2635.636719,1197.645142,0,0,12453.90527,,,
Alm Agua Santa,01-01-2020,8:15:00,2688.618164,1019.536743,0,0,12478.76074,,,
Alm Agua Santa,01-01-2020,8:30:00,2423.208496,407.3209534,0,0,12387.63574,,,
Alm Agua Santa,01-01-2020,8:45:00,2482.25293,381.5404968,0,0,12331.84375,,,
Alm Agua Santa,01-01-2020,9:00:00,2586.3479,416.4776611,0,0,12330.23926,,,
Alm Agua Santa,01-01-2020,9:15:00,2819.39209,489.1721191,0,0,12312.85645,,,
Alm Agua Santa,01-01-2020,9:30:00,2868.73877,495.372345,0,0,12303.2627,,,
Alm Agua Santa,01-01-2020,9:45:00,2940.080566,499.4143982,0,0,12294.97852,,,
